borough,major_category,num_crime,year,month
Barking and Dagenham,Other Notifiable Offences,24,2009,1
Barking and Dagenham,Robbery,99,2009,1
Barking and Dagenham,Sexual Offences,0,2009,1
Barking and Dagenham,Theft and Handling,421,2009,1
Barking and Dagenham,Violence Against the Person,398,2009,1
Barking and Dagenham,Burglary,210,2009,2
Barking and Dagenham,Criminal Damage,246,2009,2
Barking and Dagenham,Drugs,69,2009,2
Barking and Dagenham,Fraud or Forgery,0,2009,2
Barking and Dagenham,Other Notifiable Offences,30,2009,2
Barking and Dagenham,Robbery,62,2009,2
Barking and Dagenham,Sexual Offences,0,2009,2
Barking and Dagenham,Theft and Handling,460,2009,2
Barking and Dagenham,Violence Against the Person,418,2009,2
Barking and Dagenham,Burglary,210,2009,3
Barking and Dagenham,Criminal Damage,305,2009,3
Barking and Dagenham,Drugs,137,2009,3
Barking and Dagenham,Fraud or Forgery,0,2009,3
Barking and Dagenham,Other Notifiable Offences,32,2009,3
Barking and Dagenham,Robbery,69,2009,3
Barking and Dagenham,Sexual Offences,0,2009,3
Barking and Dagenham,Theft and Handling,507,2009,3
Barking and Dagenham,Violence Against the Person,452,2009,3
Barking and Dagenham,Burglary,187,2009,4
Barking and Dagenham,Criminal Damage,270,2009,4
Barking and Dagenham,Drugs,63,2009,4
Barking and Dagenham,Fraud or Forgery,0,2009,4
Barking and Dagenham,Other Notifiable Offences,20,2009,4
Barking and Dagenham,Robbery,51,2009,4
Barking and Dagenham,Sexual Offences,0,2009,4
Barking and Dagenham,Theft and Handling,531,2009,4
Barking and Dagenham,Violence Against the Person,409,2009,4
Barking and Dagenham,Burglary,197,2009,5
Barking and Dagenham,Criminal Damage,285,2009,5
Barking and Dagenham,Drugs,55,2009,5
Barking and Dagenham,Fraud or Forgery,0,2009,5
Barking and Dagenham,Other Notifiable Offences,32,2009,5
Barking and Dagenham,Robbery,54,2009,5
Barking and Dagenham,Sexual Offences,0,2009,5
Barking and Dagenham,Theft and Handling,493,2009,5
Barking and Dagenham,Violence Against the Person,435,2009,5
Barking and Dagenham,Burglary,165,2009,6
Barking and Dagenham,Criminal Damage,208,2009,6
Barking and Dagenham,Drugs,110,2009,6
Barking and Dagenham,Fraud or Forgery,0,2009,6
Barking and Dagenham,Other Notifiable Offences,26,2009,6
Barking and Dagenham,Robbery,60,2009,6
Barking and Dagenham,Sexual Offences,0,2009,6
Barking and Dagenham,Theft and Handling,427,2009,6
Barking and Dagenham,Violence Against the Person,460,2009,6
Barking and Dagenham,Burglary,198,2009,7
Barking and Dagenham,Criminal Damage,223,2009,7
Barking and Dagenham,Drugs,67,2009,7
Barking and Dagenham,Fraud or Forgery,0,2009,7
Barking and Dagenham,Other Notifiable Offences,49,2009,7
Barking and Dagenham,Robbery,73,2009,7
Barking and Dagenham,Sexual Offences,0,2009,7
Barking and Dagenham,Theft and Handling,410,2009,7
Barking and Dagenham,Violence Against the Person,499,2009,7
Barking and Dagenham,Burglary,168,2009,8
Barking and Dagenham,Criminal Damage,217,2009,8
Barking and Dagenham,Drugs,84,2009,8
Barking and Dagenham,Fraud or Forgery,0,2009,8
Barking and Dagenham,Other Notifiable Offences,24,2009,8
Barking and Dagenham,Robbery,69,2009,8
Barking and Dagenham,Sexual Offences,0,2009,8
Barking and Dagenham,Theft and Handling,417,2009,8
Barking and Dagenham,Violence Against the Person,475,2009,8
Barking and Dagenham,Burglary,210,2009,9
Barking and Dagenham,Criminal Damage,193,2009,9
Barking and Dagenham,Drugs,66,2009,9
Barking and Dagenham,Fraud or Forgery,0,2009,9
Barking and Dagenham,Other Notifiable Offences,32,2009,9
Barking and Dagenham,Robbery,85,2009,9
Barking and Dagenham,Sexual Offences,0,2009,9
Barking and Dagenham,Theft and Handling,445,2009,9
Barking and Dagenham,Violence Against the Person,423,2009,9
Barking and Dagenham,Burglary,215,2009,10
Barking and Dagenham,Criminal Damage,187,2009,10
Barking and Dagenham,Drugs,124,2009,10
Barking and Dagenham,Fraud or Forgery,0,2009,10
Barking and Dagenham,Other Notifiable Offences,29,2009,10
Barking and Dagenham,Robbery,57,2009,10
Barking and Dagenham,Sexual Offences,0,2009,10
Barking and Dagenham,Theft and Handling,433,2009,10
Barking and Dagenham,Violence Against the Person,388,2009,10
Barking and Dagenham,Burglary,232,2009,11
Barking and Dagenham,Criminal Damage,197,2009,11
Barking and Dagenham,Drugs,69,2009,11
Barking and Dagenham,Fraud or Forgery,0,2009,11
Barking and Dagenham,Other Notifiable Offences,21,2009,11
Barking and Dagenham,Robbery,45,2009,11
Barking and Dagenham,Sexual Offences,0,2009,11
Barking and Dagenham,Theft and Handling,419,2009,11
Barking and Dagenham,Violence Against the Person,367,2009,11
Barking and Dagenham,Burglary,203,2009,12
Barking and Dagenham,Criminal Damage,147,2009,12
Barking and Dagenham,Drugs,68,2009,12
Barking and Dagenham,Fraud or Forgery,0,2009,12
Barking and Dagenham,Other Notifiable Offences,15,2009,12
Barking and Dagenham,Robbery,61,2009,12
Barking and Dagenham,Sexual Offences,0,2009,12
Barking and Dagenham,Theft and Handling,421,2009,12
Barking and Dagenham,Violence Against the Person,350,2009,12
Barking and Dagenham,Burglary,222,2010,1
Barking and Dagenham,Criminal Damage,189,2010,1
Barking and Dagenham,Drugs,107,2010,1
Barking and Dagenham,Fraud or Forgery,0,2010,1
Barking and Dagenham,Other Notifiable Offences,25,2010,1
Barking and Dagenham,Robbery,79,2010,1
Barking and Dagenham,Sexual Offences,0,2010,1
Barking and Dagenham,Theft and Handling,384,2010,1
